,edge,spieceasi.weight,from,to
1,Otu000002_to_Otu000005,-0.227622455467873,Otu000002,Otu000005
2,Otu000002_to_Otu000007,-0.0711289011641748,Otu000002,Otu000007
3,Otu000002_to_Otu000016,0.084344047935611,Otu000002,Otu000016
4,Otu000004_to_Otu000018,-0.010612970061475,Otu000004,Otu000018
5,Otu000005_to_Otu000006,0.488272059179755,Otu000005,Otu000006
6,Otu000005_to_Otu000008,0.21085939303214,Otu000005,Otu000008
7,Otu000005_to_Otu000014,0.00374857577366577,Otu000005,Otu000014
8,Otu000005_to_Otu000016,-0.0268052029171123,Otu000005,Otu000016
9,Otu000005_to_Otu000017,0.468659623119438,Otu000005,Otu000017
10,Otu000005_to_Otu000018,0.367479288078115,Otu000005,Otu000018
11,Otu000005_to_Otu000019,-0.0809257374799449,Otu000005,Otu000019
12,Otu000005_to_Otu000025,-0.211388099417366,Otu000005,Otu000025
13,Otu000005_to_Otu000104,-0.0569273959870162,Otu000005,Otu000104
14,Otu000006_to_Otu000011,-0.0594300313511351,Otu000006,Otu000011
15,Otu000006_to_Otu000014,0.117215588918584,Otu000006,Otu000014
16,Otu000006_to_Otu000017,0.056834087107795,Otu000006,Otu000017
17,Otu000007_to_Otu000008,0.00192158393250963,Otu000007,Otu000008
18,Otu000008_to_Otu000104,-0.0471730919696743,Otu000008,Otu000104
19,Otu000010_to_Otu000011,0.0829529058763517,Otu000010,Otu000011
20,Otu000014_to_Otu000016,-0.0120884137991887,Otu000014,Otu000016
21,Otu000014_to_Otu000082,-0.0139592628946829,Otu000014,Otu000082
22,Otu000016_to_Otu000017,-0.101613736383042,Otu000016,Otu000017
23,Otu000016_to_Otu000019,0.231702693011875,Otu000016,Otu000019
24,Otu000017_to_Otu000019,-0.0369429188606138,Otu000017,Otu000019
25,Otu000018_to_Otu000025,-0.0350716895583096,Otu000018,Otu000025
26,Otu000019_to_Otu000104,0.262723131662463,Otu000019,Otu000104
27,Otu000035_to_Otu000121,0.0391370747516263,Otu000035,Otu000121
28,Otu000045_to_Otu000077,0.187342206344927,Otu000045,Otu000077
29,Otu000061_to_Otu000121,0.0946846386661566,Otu000061,Otu000121
30,Otu000128_to_Otu000181,0.0117184694719218,Otu000128,Otu000181
