edge,Pcr,Ppval,from,to
Otu000001_to_Otu000067,0.550401961118794,3.28598764632852e-06,Otu000001,Otu000067
Otu000002_to_Otu000005,-0.53183259066691,8.83297448767289e-06,Otu000002,Otu000005
Otu000002_to_Otu000006,-0.490885263485799,8.8093095726627e-05,Otu000002,Otu000006
Otu000002_to_Otu000017,-0.439342494425403,0.00105519102289995,Otu000002,Otu000017
Otu000005_to_Otu000006,0.694802665707688,3.3526966103361e-11,Otu000005,Otu000006
Otu000005_to_Otu000017,0.58537551865375,3.58065002583812e-07,Otu000005,Otu000017
Otu000006_to_Otu000017,0.543346541522806,4.57387965068187e-06,Otu000006,Otu000017
Otu000010_to_Otu000068,0.552327959304253,3.16740094477469e-06,Otu000010,Otu000068
Otu000011_to_Otu000019,0.666209397100464,3.15606906374846e-10,Otu000011,Otu000019
Otu000027_to_Otu000082,0.566847595800397,1.35431347396063e-06,Otu000027,Otu000082
Otu000037_to_Otu000084,0.558542455984013,2.23881817104149e-06,Otu000037,Otu000084
Otu000069_to_Otu000123,0.52089235091461,1.62682440928224e-05,Otu000069,Otu000123
Otu000069_to_Otu000156,0.528797557029761,1.01615403699405e-05,Otu000069,Otu000156
Otu000109_to_Otu000188,0.545754602690334,4.19379634793829e-06,Otu000109,Otu000188
Otu000122_to_Otu000198,0.678493046744332,1.18002751110776e-10,Otu000122,Otu000198
Otu000122_to_Otu000267,0.607640579795028,6.3495084033403e-08,Otu000122,Otu000267
Otu000123_to_Otu000156,0.502365199491645,5.09499704664191e-05,Otu000123,Otu000156
Otu000156_to_Otu000327,0.622070142757785,2.11907968860534e-08,Otu000156,Otu000327
Otu000294_to_Otu000519,0.539199252015918,5.67692071512429e-06,Otu000294,Otu000519
