edge,spieceasi.weight,from,to
Otu000002_to_Otu000005,-0.126665285481127,Otu000002,Otu000005
Otu000002_to_Otu000088,0.0977128968186258,Otu000002,Otu000088
Otu000002_to_Otu000256,0.0177296530257127,Otu000002,Otu000256
Otu000005_to_Otu000006,0.566513144533864,Otu000005,Otu000006
Otu000005_to_Otu000008,0.0404866612758211,Otu000005,Otu000008
Otu000005_to_Otu000014,0.125229111925775,Otu000005,Otu000014
Otu000005_to_Otu000017,0.43645740659615,Otu000005,Otu000017
Otu000005_to_Otu000018,0.227796723946176,Otu000005,Otu000018
Otu000006_to_Otu000017,0.010296546721171,Otu000006,Otu000017
Otu000006_to_Otu000019,-0.0141219024674038,Otu000006,Otu000019
Otu000007_to_Otu000035,-0.0301773220637847,Otu000007,Otu000035
Otu000007_to_Otu000088,-0.0425079072997204,Otu000007,Otu000088
Otu000007_to_Otu000100,0.117638309427721,Otu000007,Otu000100
Otu000008_to_Otu000019,-0.0706396075971571,Otu000008,Otu000019
Otu000008_to_Otu000042,-0.0330287803555495,Otu000008,Otu000042
Otu000011_to_Otu000019,0.199618340698783,Otu000011,Otu000019
Otu000011_to_Otu000100,-0.00123288009910399,Otu000011,Otu000100
Otu000016_to_Otu000030,0.0224762320748872,Otu000016,Otu000030
Otu000017_to_Otu000029,-0.0422464725077868,Otu000017,Otu000029
Otu000018_to_Otu000327,-0.0109550296070656,Otu000018,Otu000327
Otu000018_to_Otu000519,-0.0606057674875512,Otu000018,Otu000519
Otu000019_to_Otu000042,0.0523748116372336,Otu000019,Otu000042
Otu000025_to_Otu000110,0.0422594742389438,Otu000025,Otu000110
Otu000026_to_Otu000194,0.0167354261159368,Otu000026,Otu000194
Otu000027_to_Otu000042,0.0340359530834051,Otu000027,Otu000042
Otu000027_to_Otu000131,0.0160310209191578,Otu000027,Otu000131
Otu000030_to_Otu000046,0.114917213203568,Otu000030,Otu000046
Otu000050_to_Otu000109,0.072322213500239,Otu000050,Otu000109
Otu000053_to_Otu000163,-0.0197565131299833,Otu000053,Otu000163
Otu000053_to_Otu000327,-0.0285217474481992,Otu000053,Otu000327
Otu000056_to_Otu000123,0.0407577503398389,Otu000056,Otu000123
Otu000059_to_Otu000100,-0.0553125657815955,Otu000059,Otu000100
Otu000067_to_Otu000097,0.00445406963645711,Otu000067,Otu000097
Otu000069_to_Otu000123,0.0610685832279284,Otu000069,Otu000123
Otu000084_to_Otu000255,0.0366424490310006,Otu000084,Otu000255
Otu000100_to_Otu000123,0.0149957741319233,Otu000100,Otu000123
Otu000100_to_Otu000156,0.129245267183852,Otu000100,Otu000156
Otu000100_to_Otu000163,0.0477070944350347,Otu000100,Otu000163
Otu000109_to_Otu000519,0.0506656727286743,Otu000109,Otu000519
Otu000110_to_Otu000519,0.0543309697890316,Otu000110,Otu000519
Otu000111_to_Otu000269,0.147216337452704,Otu000111,Otu000269
Otu000111_to_Otu000636,0.0306222180698247,Otu000111,Otu000636
Otu000156_to_Otu000303,0.104921126206595,Otu000156,Otu000303
Otu000156_to_Otu000327,0.0760347918221944,Otu000156,Otu000327
Otu000163_to_Otu000519,0.0510263694768753,Otu000163,Otu000519
Otu000198_to_Otu000267,0.010037940106807,Otu000198,Otu000267
Otu000255_to_Otu000287,0.0389110154402015,Otu000255,Otu000287
Otu000294_to_Otu000519,0.0147562225987156,Otu000294,Otu000519
Otu000354_to_Otu000519,0.0839587748326008,Otu000354,Otu000519
