names,sum.r.a,no.samples,av.r.a.abund,pcnt.samples
Otu000001,28695,68,21.0992647058824,97.1428571428571
Otu000002,25138,35,35.9114285714286,50
Otu000003,28994,67,21.6373134328358,95.7142857142857
Otu000007,2320,12,9.66666666666667,17.1428571428571
Otu000010,2152,27,3.98518518518518,38.5714285714286
Otu000013,2339,31,3.77258064516129,44.2857142857143
Otu000014,5721,56,5.10803571428571,80
Otu000018,449,23,0.976086956521739,32.8571428571429
Otu000023,3760,30,6.26666666666667,42.8571428571429
Otu000041,515,7,3.67857142857143,10
Otu000042,730,7,5.21428571428571,10
Otu000045,388,7,2.77142857142857,10
Otu000049,1483,24,3.08958333333333,34.2857142857143
Otu000074,572,9,3.17777777777778,12.8571428571429
Otu000082,482,9,2.67777777777778,12.8571428571429
Otu000090,729,13,2.80384615384615,18.5714285714286
Otu000160,395,11,1.79545454545455,15.7142857142857
Otu000242,93,7,0.664285714285714,10
Otu000556,28,13,0.107692307692308,18.5714285714286
