,edge,spieceasi.weight,from,to
1,Otu000001_to_Otu000003,0.593438240882185,Otu000001,Otu000003
2,Otu000001_to_Otu000008,-0.151256085554624,Otu000001,Otu000008
3,Otu000001_to_Otu000010,0.0646864038343282,Otu000001,Otu000010
4,Otu000001_to_Otu000013,0.0586973070402493,Otu000001,Otu000013
5,Otu000001_to_Otu000014,0.241458672799819,Otu000001,Otu000014
6,Otu000003_to_Otu000005,-0.151574121032635,Otu000003,Otu000005
7,Otu000003_to_Otu000007,-0.111305487663065,Otu000003,Otu000007
8,Otu000003_to_Otu000013,0.221543875194595,Otu000003,Otu000013
9,Otu000003_to_Otu000014,0.0190129565056536,Otu000003,Otu000014
10,Otu000003_to_Otu000023,0.218125696449705,Otu000003,Otu000023
11,Otu000003_to_Otu000049,0.174816470764927,Otu000003,Otu000049
12,Otu000005_to_Otu000006,0.604263060767189,Otu000005,Otu000006
13,Otu000005_to_Otu000008,0.365468552914156,Otu000005,Otu000008
14,Otu000005_to_Otu000010,-0.0203448173951931,Otu000005,Otu000010
15,Otu000005_to_Otu000013,-0.0394941206269351,Otu000005,Otu000013
16,Otu000005_to_Otu000017,0.601331984522764,Otu000005,Otu000017
17,Otu000005_to_Otu000018,0.236382628116138,Otu000005,Otu000018
18,Otu000006_to_Otu000049,-0.0271955758659205,Otu000006,Otu000049
19,Otu000007_to_Otu000008,0.0797113765751095,Otu000007,Otu000008
20,Otu000007_to_Otu000010,-0.0494092671652036,Otu000007,Otu000010
21,Otu000007_to_Otu000035,-0.0583251414105158,Otu000007,Otu000035
22,Otu000007_to_Otu000100,0.0389763668582859,Otu000007,Otu000100
23,Otu000008_to_Otu000026,0.0545537589999497,Otu000008,Otu000026
24,Otu000008_to_Otu000042,-0.0949451934743583,Otu000008,Otu000042
25,Otu000008_to_Otu000056,0.022571565736717,Otu000008,Otu000056
26,Otu000017_to_Otu000018,0.0252350019987677,Otu000017,Otu000018
27,Otu000017_to_Otu000188,-0.0336153489051099,Otu000017,Otu000188
28,Otu000056_to_Otu000123,0.11309426525527,Otu000056,Otu000123
29,Otu000069_to_Otu000123,0.0525582950483802,Otu000069,Otu000123
30,Otu000071_to_Otu000156,0.00142947389456821,Otu000071,Otu000156
31,Otu000100_to_Otu000156,0.126155514342856,Otu000100,Otu000156
32,Otu000100_to_Otu000163,0.0203139428814009,Otu000100,Otu000163
33,Otu000156_to_Otu000303,0.0844137992909438,Otu000156,Otu000303
34,Otu000303_to_Otu000327,0.00321489910176326,Otu000303,Otu000327
