,edge,sparcc.corr,sparcc.ppvals,from,to
2,Otu000001_to_Otu000003,0.86337991521133,0,Otu000001,Otu000003
4,Otu000001_to_Otu000005,-0.612006293863943,0,Otu000001,Otu000005
6,Otu000001_to_Otu000007,-0.404067861456181,0.00600000000000001,Otu000001,Otu000007
7,Otu000001_to_Otu000008,-0.577482655093688,0,Otu000001,Otu000008
9,Otu000001_to_Otu000013,0.556796810190688,0,Otu000001,Otu000013
11,Otu000001_to_Otu000017,-0.538486387435223,0,Otu000001,Otu000017
20,Otu000001_to_Otu000049,0.43399497012528,0,Otu000001,Otu000049
96,Otu000003_to_Otu000006,-0.67705172587692,0,Otu000003,Otu000006
97,Otu000003_to_Otu000007,-0.453956048603932,0,Otu000003,Otu000007
98,Otu000003_to_Otu000008,-0.634025649236012,0,Otu000003,Otu000008
99,Otu000003_to_Otu000010,0.369518677198003,0,Otu000003,Otu000010
100,Otu000003_to_Otu000013,0.559489016634099,0,Otu000003,Otu000013
101,Otu000003_to_Otu000014,0.525471188931032,0,Otu000003,Otu000014
102,Otu000003_to_Otu000017,-0.614943709612248,0,Otu000003,Otu000017
103,Otu000003_to_Otu000018,-0.417207080789813,0,Otu000003,Otu000018
111,Otu000003_to_Otu000049,0.44869561430793,0,Otu000003,Otu000049
183,Otu000005_to_Otu000006,0.841136165243595,0.046,Otu000005,Otu000006
188,Otu000005_to_Otu000014,-0.301826510595947,0.014,Otu000005,Otu000014
198,Otu000005_to_Otu000049,-0.335869012371696,0,Otu000005,Otu000049
231,Otu000006_to_Otu000017,0.791084277740709,0.044,Otu000006,Otu000017
268,Otu000007_to_Otu000008,0.492497149686516,0,Otu000007,Otu000008
272,Otu000007_to_Otu000017,0.418058980786224,0.028,Otu000007,Otu000017
389,Otu000013_to_Otu000017,-0.368108844035058,0,Otu000013,Otu000017
390,Otu000013_to_Otu000018,-0.35588184903344,0,Otu000013,Otu000018
