edge,Pcr,Ppval,from,to
Otu000002_to_Otu000029,0.852312432,6.72E-09,Otu000002,Otu000029
Otu000002_to_Otu000030,0.834639796,3.12E-08,Otu000002,Otu000030
Otu000002_to_Otu000042,0.597782254,0.001444278,Otu000002,Otu000042
Otu000002_to_Otu000046,0.844844188,1.32E-08,Otu000002,Otu000046
Otu000002_to_Otu000054,0.812890527,1.59E-07,Otu000002,Otu000054
Otu000002_to_Otu000099,0.670012007,0.00016405,Otu000002,Otu000099
Otu000002_to_Otu000111,0.631198273,0.000568328,Otu000002,Otu000111
Otu000002_to_Otu000121,0.529148248,0.006911744,Otu000002,Otu000121
Otu000002_to_Otu000159,0.644449279,0.000378623,Otu000002,Otu000159
Otu000002_to_Otu000164,0.782716172,1.06E-06,Otu000002,Otu000164
Otu000002_to_Otu000165,0.550551969,0.004418893,Otu000002,Otu000165
Otu000002_to_Otu000180,0.526223921,0.007354929,Otu000002,Otu000180
Otu000002_to_Otu000225,0.704337155,4.55E-05,Otu000002,Otu000225
Otu000002_to_Otu000230,0.782217739,1.09E-06,Otu000002,Otu000230
Otu000002_to_Otu000265,0.801007931,3.53E-07,Otu000002,Otu000265
Otu000002_to_Otu000285,0.724785469,1.95E-05,Otu000002,Otu000285
Otu000002_to_Otu000290,0.850569528,7.96E-09,Otu000002,Otu000290
Otu000002_to_Otu000306,0.684740444,9.76E-05,Otu000002,Otu000306
Otu000002_to_Otu000308,0.517378541,0.008771115,Otu000002,Otu000308
Otu000002_to_Otu000325,0.748826065,6.43E-06,Otu000002,Otu000325
Otu000002_to_Otu000370,0.629875964,0.000590403,Otu000002,Otu000370
Otu000002_to_Otu000375,0.554321397,0.004087277,Otu000002,Otu000375
Otu000002_to_Otu000384,0.562991062,0.003373697,Otu000002,Otu000384
Otu000002_to_Otu000391,0.605389938,0.001182196,Otu000002,Otu000391
Otu000002_to_Otu000410,0.770496895,2.10E-06,Otu000002,Otu000410
Otu000002_to_Otu000459,0.631424125,0.000564889,Otu000002,Otu000459
Otu000002_to_Otu000470,0.627529398,0.000632185,Otu000002,Otu000470
Otu000002_to_Otu000473,0.591933249,0.001681707,Otu000002,Otu000473
Otu000002_to_Otu000484,0.837400349,2.49E-08,Otu000002,Otu000484
Otu000002_to_Otu000530,0.521845991,0.008019077,Otu000002,Otu000530
Otu000002_to_Otu000536,0.671790987,0.000154655,Otu000002,Otu000536
Otu000002_to_Otu000564,0.714769006,2.97E-05,Otu000002,Otu000564
Otu000002_to_Otu000615,0.532050248,0.006507933,Otu000002,Otu000615
Otu000002_to_Otu000625,0.608752719,0.001077883,Otu000002,Otu000625
Otu000002_to_Otu000677,0.728275143,1.68E-05,Otu000002,Otu000677
Otu000002_to_Otu000721,0.762522967,3.22E-06,Otu000002,Otu000721
Otu000002_to_Otu000731,0.781682738,1.12E-06,Otu000002,Otu000731
