"","Rank1.domain","Rank2.phyla","Rank3.class","Rank4.order","Rank5.family","Rank6.genus","metabolism_notes"
"Otu000001","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas",""
"Otu000002","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polynucleobacter",""
"Otu000004","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacteriaceae_unclassified",""
"Otu000005","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria",""
"Otu000006","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"Otu000007","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",""
"Otu000008","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",""
"Otu000010","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"Otu000011","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",""
"Otu000014","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","T34","T34_ge",""
"Otu000016","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnohabitans",""
"Otu000017","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"Otu000018","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",""
"Otu000019","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilaceae_unclassified","methylotroph"
"Otu000022","Bacteria","Patescibacteria","Microgenomatia","Ca.Woesebacteria","Ca.Woesebacteria_fa","Ca.Woesebacteria_ge",""
"Otu000023","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade",""
"Otu000025","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax",""
"Otu000026","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",""
"Otu000027","Bacteria","Patescibacteria","Parcubacteria","Ca.Nomurabacteria","Ca.Nomurabacteria_fa","Ca.Nomurabacteria_ge",""
"Otu000029","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilaceae_unclassified","methylotroph"
"Otu000030","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Ca.Methylopumilus","methylotroph"
"Otu000035","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",""
"Otu000036","Bacteria","Patescibacteria","Berkelbacteria","Berkelbacteria_or","Berkelbacteria_fa","Berkelbacteria_ge",""
"Otu000037","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella",""
"Otu000042","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthyaceae_unclassified",""
"Otu000044","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus",""
"Otu000046","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","GKS98_freshwater_group",""
"Otu000049","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","T34","T34_ge",""
"Otu000050","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",""
"Otu000053","Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",""
"Otu000054","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderiaceae_unclassified",""
"Otu000056","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",""
"Otu000057","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2",""
"Otu000059","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",""
"Otu000060","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"Otu000061","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified",""
